# angle_deg distance_mm
34.859 2248.000
36.234 2266.750
37.625 2285.250
39.016 2301.500
40.391 2322.500
41.797 2347.500
43.203 2374.750
44.594 2400.000
47.984 1230.750
49.391 1222.000
50.797 1224.750
52.219 1223.250
53.531 1233.000
58.281 889.500
59.609 887.000
61.047 892.250
81.484 593.750
82.922 581.000
84.406 572.000
85.734 566.000
87.156 561.500
88.672 557.500
90.094 554.250
91.531 552.750
92.906 553.500
94.297 554.000
95.672 556.000
99.625 565.500
101.000 577.000
102.391 585.000
103.875 597.500
121.469 2647.000
122.859 2651.250
124.250 2649.750
125.656 2674.500
145.516 1649.000
184.469 201.000
268.141 485.500
269.328 490.750
275.625 1912.750
277.062 1887.000
280.578 926.250
285.094 806.250
286.609 786.250
288.000 785.000
295.156 2242.750
310.453 207.500
311.875 205.250
313.516 203.250
335.078 558.000
336.297 557.250
341.328 2724.500
342.719 2717.250
347.109 1847.750
348.516 1819.000
349.984 1796.000
351.359 1777.250
352.750 1757.250
354.156 1734.500
355.594 1716.250
6.562 2220.500
9.359 2202.250
12.219 2189.000
13.609 2183.500
14.984 2180.750
16.422 2179.500
17.828 2178.750
19.203 2176.250
20.609 2175.750
22.000 2178.250
23.391 2180.500
24.781 2182.500
27.609 2187.000
29.000 2193.750
30.406 2201.750
31.750 2214.000
33.156 2229.000
34.547 2245.250
35.969 2263.750
37.344 2281.250
38.781 2298.250
40.172 2318.500
41.547 2343.250
42.969 2369.000
44.359 2392.750
47.766 1230.000
49.141 1223.000
50.516 1223.750
51.953 1220.000
53.266 1230.750
54.672 1250.500
58.031 891.250
59.406 887.500
60.859 891.250
81.234 595.250
82.812 582.500
84.219 573.750
85.516 566.750
86.953 561.500
88.359 557.750
89.719 554.500
91.219 553.000
92.719 553.500
94.188 553.750
95.391 558.500
99.453 567.500
100.891 575.750
102.359 584.250
103.734 595.500
121.297 2652.250
122.734 2649.250
124.094 2649.250
125.484 2660.500
126.906 2668.500
145.328 1651.250
184.344 201.500
276.875 1889.750
280.438 931.250
281.859 946.500
283.141 969.000
286.375 789.000
287.812 785.750
294.953 2241.750
311.922 205.250
313.328 203.500
333.391 560.000
334.719 558.250
336.297 557.250
341.156 2728.750
342.578 2728.250
347.062 1849.000
348.438 1820.500
349.859 1798.250
351.266 1778.250
352.703 1757.000
354.125 1734.500
355.531 1714.750
6.562 2220.500
9.359 2202.250
12.141 2189.000
13.531 2183.250
14.969 2178.750
16.359 2177.750
17.766 2178.750
19.172 2176.250
20.547 2176.750
21.953 2179.250
23.375 2180.750
24.734 2182.750
28.953 2193.000
30.359 2201.500
31.719 2213.750
33.156 2229.000
34.547 2244.750
35.938 2263.500
37.359 2281.250
38.719 2298.250
40.109 2316.750
41.531 2341.000
42.906 2368.500
44.312 2392.500
47.641 1230.500
49.094 1223.500
50.500 1223.500
51.844 1222.500
53.297 1233.250
54.641 1250.500
58.016 891.250
59.281 887.250
60.812 891.250
81.438 595.250
82.656 582.500
84.188 573.750
85.719 566.500
87.156 561.500
88.406 557.750
89.828 554.500
91.297 553.000
92.781 553.500
94.125 553.750
95.375 558.250
99.688 567.500
100.875 575.750
102.422 584.250
103.656 595.500
105.062 612.000
121.312 2651.750
